Method,Level,Coverage Rate,Lower Miss,Upper Miss,Sample Repeatition,Monte Carlo Repeatition,Bootstrap Repeatition,Distribution
normal,0.99,0.984,0,0.016,250,500,250,"F(5,20)"
basic,0.99,0.982,0,0.018,250,500,250,"F(5,20)"
percentile,0.99,0.978,0.002,0.02,250,500,250,"F(5,20)"
BCa,0.99,0.982,0.002,0.016,250,500,250,"F(5,20)"
normal,0.9,0.884,0.044,0.072,250,500,500,"F(5,20)"
basic,0.9,0.874,0.048,0.078,250,500,500,"F(5,20)"
percentile,0.9,0.89,0.032,0.078,250,500,500,"F(5,20)"
BCa,0.9,0.862,0.062,0.076,250,500,500,"F(5,20)"
normal,0.95,0.934,0.014,0.052,250,500,500,"F(5,20)"
basic,0.95,0.936,0.016,0.048,250,500,500,"F(5,20)"
percentile,0.95,0.95,0.016,0.034,250,500,500,"F(5,20)"
BCa,0.95,0.932,0.024,0.044,250,500,500,"F(5,20)"
normal,0.99,0.984,0.004,0.012,250,500,500,"F(5,20)"
basic,0.99,0.976,0,0.024,250,500,500,"F(5,20)"
percentile,0.99,0.988,0.004,0.008,250,500,500,"F(5,20)"
BCa,0.99,0.984,0.004,0.012,250,500,500,"F(5,20)"
normal,0.9,0.87,0.05,0.08,250,500,100,"F(20, 20)"
basic,0.9,0.898,0.038,0.064,250,500,100,"F(20, 20)"
percentile,0.9,0.894,0.048,0.058,250,500,100,"F(20, 20)"
BCa,0.9,0.884,0.05,0.066,250,500,100,"F(20, 20)"
normal,0.95,0.95,0.016,0.034,250,500,100,"F(20, 20)"
basic,0.95,0.912,0.042,0.046,250,500,100,"F(20, 20)"
percentile,0.95,0.934,0.026,0.04,250,500,100,"F(20, 20)"
BCa,0.95,0.922,0.03,0.048,250,500,100,"F(20, 20)"
normal,0.99,0.988,0.004,0.008,250,500,100,"F(20, 20)"
basic,0.99,0.966,0.012,0.022,250,500,100,"F(20, 20)"
percentile,0.99,0.96,0.016,0.024,250,500,100,"F(20, 20)"
BCa,0.99,0.952,0.024,0.024,250,500,100,"F(20, 20)"
normal,0.9,0.898,0.042,0.06,250,500,250,"F(20, 20)"
basic,0.9,0.894,0.042,0.064,250,500,250,"F(20, 20)"
percentile,0.9,0.884,0.054,0.062,250,500,250,"F(20, 20)"
BCa,0.9,0.874,0.052,0.074,250,500,250,"F(20, 20)"
normal,0.95,0.932,0.022,0.046,250,500,250,"F(20, 20)"
basic,0.95,0.928,0.03,0.042,250,500,250,"F(20, 20)"
percentile,0.95,0.944,0.024,0.032,250,500,250,"F(20, 20)"
BCa,0.95,0.934,0.034,0.032,250,500,250,"F(20, 20)"
normal,0.99,0.988,0.004,0.008,250,500,250,"F(20, 20)"
basic,0.99,0.972,0.01,0.018,250,500,250,"F(20, 20)"
percentile,0.99,0.978,0.008,0.014,250,500,250,"F(20, 20)"
BCa,0.99,0.99,0.008,0.002,250,500,250,"F(20, 20)"
normal,0.9,0.876,0.048,0.076,250,500,500,"F(20, 20)"
basic,0.9,0.888,0.032,0.08,250,500,500,"F(20, 20)"
percentile,0.9,0.864,0.068,0.068,250,500,500,"F(20, 20)"
BCa,0.9,0.882,0.048,0.07,250,500,500,"F(20, 20)"
normal,0.95,0.95,0.018,0.032,250,500,500,"F(20, 20)"
basic,0.95,0.932,0.022,0.046,250,500,500,"F(20, 20)"
percentile,0.95,0.946,0.018,0.036,250,500,500,"F(20, 20)"
BCa,0.95,0.948,0.02,0.032,250,500,500,"F(20, 20)"
normal,0.99,0.986,0.004,0.01,250,500,500,"F(20, 20)"
basic,0.99,0.982,0.002,0.016,250,500,500,"F(20, 20)"
percentile,0.99,0.986,0.002,0.012,250,500,500,"F(20, 20)"
BCa,0.99,0.982,0.006,0.012,250,500,500,"F(20, 20)"
