Method,Level,Coverage Rate,Lower Miss,Upper Miss,Sample Repeatition,Monte Carlo Repeatition,Bootstrap Repeatition,Distribution
normal,0.99,0.982,0.004,0.014,250,500,100,"F(20, 20)"
basic,0.99,0.98,0,0.02,250,500,100,"F(20, 20)"
percentile,0.99,0.974,0.012,0.014,250,500,100,"F(20, 20)"
normal,0.9,0.886,0.036,0.078,250,500,250,"F(20, 20)"
basic,0.9,0.888,0.046,0.066,250,500,250,"F(20, 20)"
percentile,0.9,0.902,0.038,0.06,250,500,250,"F(20, 20)"
normal,0.95,0.95,0.022,0.028,250,500,250,"F(20, 20)"
basic,0.95,0.934,0.024,0.042,250,500,250,"F(20, 20)"
percentile,0.95,0.918,0.028,0.054,250,500,250,"F(20, 20)"
normal,0.99,0.99,0.004,0.006,250,500,250,"F(20, 20)"
basic,0.99,0.982,0,0.018,250,500,250,"F(20, 20)"
percentile,0.99,0.976,0.006,0.018,250,500,250,"F(20, 20)"
normal,0.9,0.894,0.05,0.056,250,500,500,"F(20, 20)"
basic,0.9,0.892,0.042,0.066,250,500,500,"F(20, 20)"
percentile,0.9,0.894,0.048,0.058,250,500,500,"F(20, 20)"
normal,0.95,0.94,0.026,0.034,250,500,500,"F(20, 20)"
basic,0.95,0.952,0.008,0.04,250,500,500,"F(20, 20)"
percentile,0.95,0.96,0.02,0.02,250,500,500,"F(20, 20)"
normal,0.99,0.99,0.006,0.004,250,500,500,"F(20, 20)"
basic,0.99,0.98,0.004,0.016,250,500,500,"F(20, 20)"
percentile,0.99,0.986,0.008,0.006,250,500,500,"F(20, 20)"
